n,k,comparisons,swaps
700,1,2018,1565
700,1,1991,1506
700,1,1968,1485
700,1,2002,1509
700,1,1956,1481
700,1,1995,1500
700,1,2031,1555
700,1,2009,1545
700,1,2092,1615
700,1,1936,1451
700,1,2074,1603
700,1,2009,1537
700,1,1972,1479
700,1,2052,1591
700,350,2038,1553
700,350,2192,1677
700,350,2093,1626
700,350,1948,1470
700,350,2152,1675
700,350,2048,1576
700,350,2091,1625
700,350,1979,1538
700,350,2036,1579
700,350,1910,1457
700,350,1986,1537
700,350,2005,1539
700,350,2063,1568
700,350,2111,1655
700,350,1066,808
700,350,2076,1597
700,350,2023,1566
700,350,2003,1506
700,350,2056,1577
700,350,2013,1565
700,350,2056,1587
700,350,2052,1579
700,350,2109,1647
700,350,2069,1600
700,350,2146,1655
700,350,2048,1590
700,350,2053,1582
700,350,1901,1463
700,350,2114,1639
700,350,2048,1568
700,350,2098,1596
700,350,2094,1604
700,350,2065,1598
700,350,2105,1633
700,350,2128,1622
700,350,2036,1564
700,350,2049,1545
700,350,2087,1614
700,350,2074,1573
700,350,2048,1558
700,350,2120,1637
700,350,2105,1610
700,350,2048,1585
700,350,1897,1477
700,350,2139,1623
700,350,2033,1573
700,350,2096,1617
700,350,2120,1626
700,350,1834,1370
700,350,1940,1477
700,700,2076,1630
700,700,1870,1409
700,700,1987,1532
700,700,2145,1631
700,700,1712,1297
700,700,1999,1558
700,700,1990,1467
700,700,2022,1569
700,700,1973,1530
700,700,1991,1539
700,700,1926,1498
700,700,2022,1564
700,700,2044,1584
700,700,1965,1488
700,700,2045,1606
700,700,1998,1524
700,700,2078,1611
700,700,2078,1559
700,700,2020,1560
700,700,1995,1529
700,700,1927,1485
700,700,2080,1594
700,700,1938,1489
700,700,2044,1553
700,700,1974,1512
700,700,1986,1558
700,700,2058,1604
700,700,1862,1418
700,700,1978,1552
700,700,2063,1605
700,700,2089,1633
700,700,2010,1572
700,700,1960,1547
700,700,2060,1571
700,700,1922,1491
700,700,2071,1610
700,700,2014,1545
700,700,2094,1580
700,700,2016,1513
700,700,2022,1558
700,700,1811,1388
700,700,1853,1394
700,700,2054,1612
700,700,2073,1584
700,700,2061,1589
700,700,2058,1584
700,700,2033,1562
700,700,1924,1474
700,700,2028,1585
700,700,2022,1582
800,1,2405,1863
800,1,2321,1754
800,1,2297,1740
800,1,2368,1813
800,1,2287,1721
800,1,2098,1556
800,1,2354,1783
800,1,2279,1749
800,1,2266,1705
800,1,2175,1654
800,1,2077,1538
800,1,2325,1761
800,1,2127,1594
800,1,2376,1844
800,1,2298,1732
800,1,2276,1684
800,1,2298,1738
800,1,2281,1736
800,1,2294,1722
800,1,2275,1751
800,1,2357,1799
800,1,2374,1817
800,1,2273,1713
800,1,2213,1669
800,1,2324,1767
800,1,2298,1740
800,1,2371,1816
800,1,2268,1698
800,1,2367,1814
800,1,2378,1812
800,1,2274,1708
800,1,2320,1748
800,1,2270,1701
800,1,2293,1730
800,1,2343,1790
800,1,2289,1731
800,1,2106,1552
800,1,2287,1721
800,1,2154,1600
800,1,2374,1805
800,1,1994,1468
800,1,2321,1761
800,1,2322,1748
800,1,2453,1901
800,1,2323,1747
800,1,2283,1712
800,1,2223,1678
800,1,2301,1724
800,1,2302,1745
800,1,2345,1791
800,400,2347,1789
800,400,2368,1815
800,400,2226,1700
800,400,2330,1747
800,400,2403,1870
800,400,2412,1839
800,400,2409,1824
800,400,2347,1806
800,400,2386,1826
800,400,2250,1704
800,400,2380,1793
800,400,2391,1845
800,400,2328,1759
800,400,2347,1815
800,400,2415,1834
800,400,2425,1854
800,400,2418,1852
800,400,2113,1611
800,400,2182,1640
800,400,2424,1851
800,400,1204,886
800,400,2288,1742
800,400,2374,1803
800,400,2292,1714
800,400,2384,1814
800,400,2408,1810
800,400,2236,1675
800,400,2414,1853
